"NIK","nama","tempat_lahir","tanggal_lahir","jenis_kelamin","golongan_darah","alamat","agama","status_perkawinan","pekerjaan","kewarganegaraan"
"5473784641444134","K3Th SndrS","Banyuwangi","1961-10-28","Laki-Laki","AB","Jl. K3Th SndrS No. 9","Buddha","Belum Menikah","Perdagangan","Jepang"
"4605434913708207","J1lL D3al","Madiun","1998-03-16","Perempuan","B","Jl. J1lL D3al No. 86","Khonghucu","Belum Menikah","Seniman","Malaysia"
"2726299532620403","j0hN r4H3","Yogyakarta","2003-06-30","Laki-Laki","AB","Jl. j0hN r4H3 No. 63","Protestan","Belum Menikah","Perancang Busana","Canada"
"7130611797726556","m1ldred kn1GHT","Palu","1963-09-28","Laki-Laki","AB","Jl. m1ldred kn1GHT No. 35","Islam","Cerai","Buruh Tani / Perkebunan","Indonesia"
"2797686267465477","M4RY MURPhy","Makassar","1950-03-13","Perempuan","B","Jl. M4RY MURPhy No. 96","Katolik","Cerai","Peneliti","Myanmar"
"4129876944077444","An154 rEbUCk","Nganjuk","1951-06-25","Laki-Laki","AB","Jl. An154 rEbUCk No. 30","Protestan","Menikah","Pialang","Jepang"
"7724657481403055","D0R0TH3 ph1LLpS","Bondowoso","2003-06-30","Perempuan","B","Jl. D0R0TH3 ph1LLpS No. 40","Islam","Menikah","Anggota DPRD Kabupaten","Myanmar"
"8005833367832318","RT 4l1x","Ponorogo","1967-12-02","Perempuan","O","Jl. RT 4l1x No. 91","Khonghucu","Menikah","Tukang Sol Sepatu","Inggris"
"6203497931266252","pTR1C4 GNDy","Mojokerto","1948-10-05","Perempuan","B","Jl. pTR1C4 GNDy No. 24","Katolik","Cerai","Presiden","Amerika"
"3758268211226114","rL g00d5","Boyolali","1962-06-05","Laki-Laki","O","Jl. rL g00d5 No. 37","Islam","Menikah","Apoteker","Canada"
"4585130452658420","GL4dys mr1n","Sumenep","1977-06-29","Laki-Laki","O","Jl. GL4dys mr1n No. 78","Buddha","Menikah","Penata Busana","Amerika"
"0796250512134439","ly5s L3","Mojokerto","1952-07-07","Laki-Laki","O","Jl. ly5s L3 No. 99","Khonghucu","Belum Menikah","Tabib","Indonesia"
"1285677374420015","sT3PH3n RObinSoN","Purwokerto","1999-05-09","Laki-Laki","AB","Jl. sT3PH3n RObinSoN No. 98","Buddha","Belum Menikah","Peternak","Laos"
"3348595672326473","rtH BRy4Nt","Makassar","1998-09-15","Laki-Laki","B","Jl. rtH BRy4Nt No. 68","Islam","Menikah","Anggota Lembaga Tinggi","Brunei"
"6225403513185001","r3nE 0Yl3r","Gresik","1961-06-28","Laki-Laki","A","Jl. r3nE 0Yl3r No. 23","Katolik","Menikah","Seniman","Kamboja"
"6079714599865823","Jana sandrOCK","Subulussalam","1947-09-26","Laki-Laki","B","Jl. Jana sandrOCK No. 100","Hindu","Belum Menikah","Mengurus Rumah Tangga","Vietnam"
"7239579256644605","p4triCI4 d3LR10","Magelang","1954-03-02","Laki-Laki","AB","Jl. p4triCI4 d3LR10 No. 88","Protestan","Belum Menikah","Anggota DPRD Kabupaten","Singapura"
"5760688617536234","sALv4T0re g4rrEn","Tangerang","1995-05-06","Laki-Laki","A","Jl. sALv4T0re g4rrEn No. 62","Buddha","Menikah","Tukang Sol Sepatu","Jepang"
"0269293410888890","MARinA kN4pP","Ponorogo","1961-11-07","Perempuan","AB","Jl. MARinA kN4pP No. 4","Islam","Belum Menikah","Seniman","Kamboja"
"6789507133751380","e5t3llE jENS3n","Malang","1958-01-15","Perempuan","AB","Jl. e5t3llE jENS3n No. 91","Islam","Menikah","Konstruksi","Thailand"
"7864064562239699","C5Y r0BNs0n","Banyuwangi","2003-02-05","Laki-Laki","AB","Jl. C5Y r0BNs0n No. 87","Islam","Belum Menikah","Konsultan","Thailand"
"5461307159998524","N1CHl4S B3Nntt","Batam","1979-05-11","Perempuan","AB","Jl. N1CHl4S B3Nntt No. 98","Khonghucu","Cerai","Wiraswasta","Italia"
"0021005183674267","cYNTh14 fsHR","Batu","1983-01-22","Perempuan","B","Jl. cYNTh14 fsHR No. 25","Hindu","Cerai","Tukang Gigi","Vietnam"
"7492481932650315","Milo HuL5","Lumajang","1986-01-12","Laki-Laki","B","Jl. Milo HuL5 No. 33","Katolik","Belum Menikah","Karyawan Swasta","Singapura"
"2551929212540045","lnD kTZ","Trenggalek","1986-04-01","Perempuan","B","Jl. lnD kTZ No. 96","Khonghucu","Cerai","Perangkat Desa","Italia"
"5072690847805276","sTacy KNApP","Tegal","1975-12-20","Laki-Laki","A","Jl. sTacy KNApP No. 14","Hindu","Belum Menikah","Kepolisian RI","Laos"
"9240766536192624","jHN b4Rthl3mY","Wonogiri","1978-05-12","Laki-Laki","B","Jl. jHN b4Rthl3mY No. 42","Hindu","Menikah","Atlit","Jepang"
"9047600069122178","JuD1Th mATth3wS","Lumajang","1970-04-11","Perempuan","B","Jl. JuD1Th mATth3wS No. 89","Islam","Cerai","Promotor Acara","Perancis"
"4113395842507051","jN G1LbrT","Madiun","2006-04-14","Laki-Laki","AB","Jl. jN G1LbrT No. 91","Khonghucu","Cerai","Peternak","Italia"
"1908669604950119","gn3 0lSn","Kediri","1949-10-08","Perempuan","A","Jl. gn3 0lSn No. 53","Buddha","Belum Menikah","Karyawan BUMN","Myanmar"
"0721043285805796","d3bR4 PiNcE","Sidoarjo","1972-08-09","Laki-Laki","A","Jl. d3bR4 PiNcE No. 48","Islam","Menikah","Tukang Las / Pandai Besi","Canada"
"4487266720526848","MicHA3l ru53rT","Kudus","1972-05-22","Perempuan","O","Jl. MicHA3l ru53rT No. 50","Protestan","Belum Menikah","Tenaga Tata Usaha","Jepang"
"5069827892849242","JSpH Mrr1lL","Surakarta","1968-08-28","Perempuan","AB","Jl. JSpH Mrr1lL No. 46","Khonghucu","Menikah","Penyiar Radio","Indonesia"
"9389583159084978","dN1l HRdNg","Malang","1976-08-04","Laki-Laki","A","Jl. dN1l HRdNg No. 64","Katolik","Menikah","Operator","Canada"
"0361362168474737","t1mThy l4r53N","Padang","1959-10-30","Perempuan","AB","Jl. t1mThy l4r53N No. 79","Protestan","Cerai","Belum / Tidak Bekerja","Perancis"
"8173328358051008","V3rn1TA l0NG","Trenggalek","1989-04-17","Perempuan","A","Jl. V3rn1TA l0NG No. 6","Khonghucu","Belum Menikah","Buruh Harian Lepas","Singapura"
"3509597981019001","VL3r phrR","Pacitan","2005-07-05","Laki-Laki","A","Jl. VL3r phrR No. 86","Khonghucu","Menikah","Pengacara","Vietnam"
"5076737165695301","cynth14 R0BNSN","Bojonegoro","1959-11-08","Perempuan","A","Jl. cynth14 R0BNSN No. 88","Katolik","Belum Menikah","Teknisi","Brunei"
"3557253897664673","FL0ReNc3 3p5t3iN","Brebes","1975-10-10","Perempuan","B","Jl. FL0ReNc3 3p5t3iN No. 94","Katolik","Menikah","Chef","Laos"
"0663372660667910","andre4 buRCH","Palembang","1954-01-15","Laki-Laki","O","Jl. andre4 buRCH No. 47","Hindu","Cerai","Atlit","Korea"
"0575051873288031","STeV3n gOoDWiLl","Bojonegoro","1986-03-04","Laki-Laki","AB","Jl. STeV3n gOoDWiLl No. 37","Khonghucu","Belum Menikah","Teknisi","Vietnam"
"3573557394098354","maRY w4ld3n","Madiun","1963-07-28","Laki-Laki","AB","Jl. maRY w4ld3n No. 44","Buddha","Menikah","Wakil Walikota","Inggris"
"0416286671704945","jAN1C3 grIFf0","Palembang","1951-11-01","Perempuan","B","Jl. jAN1C3 grIFf0 No. 73","Protestan","Menikah","Tukang Gigi","Perancis"
"8877011071057712","Jm5 v4zq3z","Trenggalek","1992-04-19","Perempuan","AB","Jl. Jm5 v4zq3z No. 34","Buddha","Cerai","Pialang","Laos"
"6248519798455644","mChLl THr34tt","Jember","1973-11-07","Laki-Laki","AB","Jl. mChLl THr34tt No. 36","Protestan","Menikah","Penata Busana","Amerika"
"9430026924484862","sTePh3N TH0mAS","Tanjungpinang","1948-05-26","Laki-Laki","B","Jl. sTePh3N TH0mAS No. 29","Islam","Menikah","Wiraswasta","Indonesia"
"0224661434938595","Jn MNt35","Banda Aceh","1979-03-08","Perempuan","B","Jl. Jn MNt35 No. 72","Khonghucu","Cerai","Pastur","Malaysia"
"7632778984728128","3lv1n SNoKe","Magelang","1987-03-24","Laki-Laki","AB","Jl. 3lv1n SNoKe No. 91","Hindu","Cerai","Notaris","Singapura"
"0135290213495307","3Lvr Dr1sclL","Banjarnegara","1959-11-01","Perempuan","AB","Jl. 3Lvr Dr1sclL No. 25","Katolik","Menikah","Buruh Nelayan / Perikanan","Jepang"
"6183253639738758","Bss3 BR1m4g","Bandar Lampung","1978-09-16","Laki-Laki","O","Jl. Bss3 BR1m4g No. 34","Buddha","Menikah","Chef","Jepang"
"4739122689478666","cH4Rle5 BaRTh","Cilegon","2002-06-01","Laki-Laki","B","Jl. cH4Rle5 BaRTh No. 17","Khonghucu","Menikah","Kepala Desa","Inggris"
"8244301340295031","BYR0n lY0n","Banyuwangi","1982-09-05","Perempuan","O","Jl. BYR0n lY0n No. 7","Islam","Menikah","Transportasi","Singapura"
"6801436609384189","K3llY cH4tmAN","Jambi","1954-07-02","Laki-Laki","B","Jl. K3llY cH4tmAN No. 7","Islam","Belum Menikah","Wiraswasta","Singapura"
"0493500661454795","3d stAMP5","Trenggalek","1974-11-06","Laki-Laki","AB","Jl. 3d stAMP5 No. 31","Hindu","Belum Menikah","Notaris","Indonesia"
"8811915837379122","pr1L M3RC4d","Kebumen","1955-07-05","Perempuan","O","Jl. pr1L M3RC4d No. 10","Protestan","Menikah","Buruh Tani / Perkebunan","Indonesia"
"6949231997670494","s4R4h M0FF3tT","Batam","1994-08-07","Perempuan","AB","Jl. s4R4h M0FF3tT No. 85","Hindu","Cerai","Asisten Ahli","Vietnam"
"2589300296936703","4D4M FrN4NdZ","Malang","1959-10-17","Perempuan","AB","Jl. 4D4M FrN4NdZ No. 96","Hindu","Belum Menikah","Anggota DPD","Korea"
"8685333660603319","3rC pDG3tt","Surakarta","1954-11-16","Laki-Laki","A","Jl. 3rC pDG3tt No. 87","Protestan","Menikah","Artis","Filipina"
"8449460617289065","3l1zAbeTh 5TY0nS","Trenggalek","1956-08-28","Perempuan","B","Jl. 3l1zAbeTh 5TY0nS No. 66","Islam","Cerai","Chef","Brunei"
"7799925311318726","M3L4N13 G4y","Kebumen","1985-04-05","Perempuan","B","Jl. M3L4N13 G4y No. 77","Buddha","Belum Menikah","Anggota Lembaga Tinggi","Kamboja"
"2130722327522868","lUCy c0ntoS","Denpasar","1958-03-12","Laki-Laki","A","Jl. lUCy c0ntoS No. 43","Khonghucu","Cerai","Perangkat Desa","Brunei"
"2823514383452150","Lat0y4 M3Ntzer","Mojokerto","1958-12-30","Laki-Laki","O","Jl. Lat0y4 M3Ntzer No. 15","Protestan","Cerai","Wakil Presiden","Kamboja"
"4263574954329243","4ntHOny tr3J0","Kediri","2007-02-27","Perempuan","O","Jl. 4ntHOny tr3J0 No. 14","Khonghucu","Menikah","Penyiar Radio","Thailand"
"4194109036018545","GR3GrY h1ll","Pamekasan","1950-07-15","Laki-Laki","O","Jl. GR3GrY h1ll No. 95","Protestan","Belum Menikah","Ustadz / Mubaligh","Brunei"
"8903010668341836","teRE5a 5T3w4rT","Malang","1995-03-22","Perempuan","B","Jl. teRE5a 5T3w4rT No. 93","Protestan","Belum Menikah","Pialang","Filipina"
"2557843257612786","KnNTH Gl4ND0n","Kudus","1958-11-20","Laki-Laki","B","Jl. KnNTH Gl4ND0n No. 49","Katolik","Belum Menikah","Chef","Singapura"
"5812073403631689","tam1 NElSoN","Surakarta","1977-05-07","Perempuan","AB","Jl. tam1 NElSoN No. 14","Katolik","Menikah","Pilot","Amerika"
"9061829265141225","c4r0l3 5eRRAta","Boyolali","1979-02-15","Laki-Laki","AB","Jl. c4r0l3 5eRRAta No. 54","Hindu","Belum Menikah","Karyawan BUMN","Canada"
"7372315798368140","mRSh4 3RCKS0n","Jember","1988-04-15","Perempuan","A","Jl. mRSh4 3RCKS0n No. 86","Hindu","Cerai","Wakil Walikota","Indonesia"
"8799296110474657","luanN3 h0lThAu5","Palu","1999-07-26","Laki-Laki","B","Jl. luanN3 h0lThAu5 No. 64","Khonghucu","Menikah","Buruh Peternakan","Vietnam"
"9818215684589180","C4R0l LVNg","Pasuruan","1971-01-21","Laki-Laki","AB","Jl. C4R0l LVNg No. 18","Protestan","Menikah","Wakil Gubernur","Inggris"
"2622426948184440","M1lDrD C0lL1N5","Samarinda","1952-11-28","Laki-Laki","O","Jl. M1lDrD C0lL1N5 No. 40","Katolik","Menikah","Pegawai Negeri Sipil","Amerika"
"6008086574740770","kevIn eRLer","Pacitan","1962-12-02","Laki-Laki","O","Jl. kevIn eRLer No. 22","Islam","Menikah","Karyawan BUMD","Malaysia"
"3196368765571822","mrk RdR1gZ","Denpasar","1995-06-02","Perempuan","A","Jl. mrk RdR1gZ No. 23","Hindu","Menikah","Pialang","Vietnam"
"8723234532170482","3Dna D4FFR0N","Pangkal Pinang","1977-06-19","Perempuan","O","Jl. 3Dna D4FFR0N No. 40","Katolik","Menikah","Kepala Desa","Korea"
"0323846523255873","RSsLL Blf0r","Pasuruan","2001-08-11","Perempuan","B","Jl. RSsLL Blf0r No. 42","Islam","Belum Menikah","Manajer","Amerika"
"5094230041438579","kATHy HAmPTon","Pasuruan","1964-07-07","Laki-Laki","B","Jl. kATHy HAmPTon No. 2","Hindu","Belum Menikah","Atlit","Canada"
"5554782986271444","mRY KL31n","Cilegon","2003-09-07","Perempuan","AB","Jl. mRY KL31n No. 5","Hindu","Menikah","Pialang","Brunei"
"2061992553964350","RBY HLl","Tasikmalaya","1963-07-14","Perempuan","O","Jl. RBY HLl No. 64","Katolik","Cerai","Pedagang","Thailand"
"2297498511596921","fRaNkL1n crOuCh","Tanjungpinang","1966-08-17","Laki-Laki","AB","Jl. fRaNkL1n crOuCh No. 37","Protestan","Menikah","Wiraswasta","Myanmar"
"2395600078208945","laUr3n h4RrELl","Jayapura","1987-08-25","Laki-Laki","O","Jl. laUr3n h4RrELl No. 12","Katolik","Belum Menikah","Perdagangan","Singapura"
"5805477420823696","frEdDy mUsgrOv3","Tegal","1978-09-16","Perempuan","B","Jl. frEdDy mUsgrOv3 No. 83","Buddha","Cerai","Penata Rias","Thailand"
"3764822551076723","VLM4 L0N4RD","Tulungagung","2006-06-05","Perempuan","AB","Jl. VLM4 L0N4RD No. 46","Hindu","Belum Menikah","Mengurus Rumah Tangga","Brunei"
"2216292918686695","r0Dn3y HnR1CKs","Pamekasan","1964-03-29","Perempuan","B","Jl. r0Dn3y HnR1CKs No. 40","Islam","Belum Menikah","Guru","Kamboja"
"6880375454003132","F4t1MA H0WELl","Medan","1969-07-03","Laki-Laki","AB","Jl. F4t1MA H0WELl No. 58","Khonghucu","Menikah","Tukang Listrik","Laos"
"0644564914446927","jenN1f3R mew","Malang","1981-09-28","Perempuan","B","Jl. jenN1f3R mew No. 44","Hindu","Belum Menikah","Pelajar / Mahasiswa","Canada"
"9236410661368573","Fr4nc5 c4Rp3NT3R","Kediri","1948-12-20","Laki-Laki","A","Jl. Fr4nc5 c4Rp3NT3R No. 18","Buddha","Cerai","Wakil Gubernur","Italia"
"2517559934315768","ST3Ll4 G4rc14","Binjai","1956-03-06","Perempuan","AB","Jl. ST3Ll4 G4rc14 No. 16","Katolik","Belum Menikah","Bupati","Canada"
"1082017581802749","MYrN4 h5","Lumajang","1950-09-23","Perempuan","A","Jl. MYrN4 h5 No. 90","Hindu","Belum Menikah","Pelaut","Amerika"
"7244987151871971","M4x LOFTU5","Bondowoso","1994-04-04","Perempuan","AB","Jl. M4x LOFTU5 No. 35","Protestan","Menikah","Seniman","Malaysia"
"9670530613603711","Em1lY LYNn","Sukabumi","1987-11-07","Laki-Laki","O","Jl. Em1lY LYNn No. 55","Islam","Cerai","Buruh Harian Lepas","Myanmar"
"5775268628264004","1d kngHT","Bondowoso","1948-09-02","Perempuan","A","Jl. 1d kngHT No. 72","Protestan","Cerai","Pendeta","Korea"
"0434104791609092","RayMond McClOud","Surakarta","1963-06-24","Laki-Laki","O","Jl. RayMond McClOud No. 84","Hindu","Belum Menikah","Tukang Sol Sepatu","Indonesia"
"2942442420465377","Lr1n 4rM5TrNG","Balikpapan","1968-04-08","Perempuan","AB","Jl. Lr1n 4rM5TrNG No. 68","Islam","Cerai","Guru","Brunei"
"0331664761735491","BRENDA RObiN5ON","Batu","1973-04-18","Perempuan","B","Jl. BRENDA RObiN5ON No. 35","Islam","Belum Menikah","Perangkat Desa","Amerika"
"1860820175816438","Kt smTH","Sampang","1972-10-03","Perempuan","A","Jl. Kt smTH No. 62","Protestan","Menikah","Wakil Presiden","Korea"
"4158867379306009","r3n3e FL0yd","Tasikmalaya","1950-06-15","Perempuan","O","Jl. r3n3e FL0yd No. 14","Katolik","Cerai","Penata Busana","Inggris"
"1152485888537725","w1lL hnCkly","Sidoarjo","1960-05-15","Perempuan","AB","Jl. w1lL hnCkly No. 21","Buddha","Belum Menikah","Tenaga Tata Usaha","Kamboja"
"3470807503380321","54C l0Flnd","Bogor","1970-08-09","Laki-Laki","A","Jl. 54C l0Flnd No. 20","Islam","Belum Menikah","Pekerja Pengolahan","Indonesia"
"2628142578361280","ChRIStIn3 H4mIlt0N","Salatiga","1957-11-03","Perempuan","B","Jl. ChRIStIn3 H4mIlt0N No. 100","Katolik","Belum Menikah","Pilot","Canada"
"6848281775639348","hERm4n ziNK","Tulungagung","1979-01-05","Laki-Laki","B","Jl. hERm4n ziNK No. 36","Protestan","Menikah","Industri","Filipina"
"8910151595780881","TheR354 blant0n","Probolinggo","2007-01-26","Laki-Laki","AB","Jl. TheR354 blant0n No. 23","Protestan","Cerai","Seniman","Thailand"
"2761813531440895","J0SphN3 PPL35","Malang","1997-02-11","Perempuan","B","Jl. J0SphN3 PPL35 No. 48","Katolik","Menikah","Bupati","Vietnam"
"0419036228383558","PhYLlI5 HUrT","Gorontalo","1951-02-14","Perempuan","A","Jl. PhYLlI5 HUrT No. 2","Khonghucu","Menikah","Kepolisian RI","Inggris"
"1896266811137079","JaMES TUggLe","Cilacap","2003-06-11","Laki-Laki","B","Jl. JaMES TUggLe No. 60","Islam","Menikah","Psikiater / Psikolog","Kamboja"
"0043469538084342","4NG3licA Sh0Ck","Jambi","1950-09-23","Perempuan","A","Jl. 4NG3licA Sh0Ck No. 36","Protestan","Belum Menikah","Penata Rambut","Myanmar"
"2848069310073909","J3r3mY ZP4T4","Salatiga","1996-06-03","Laki-Laki","O","Jl. J3r3mY ZP4T4 No. 32","Khonghucu","Belum Menikah","Guru","Malaysia"
"8773758077870066","kmBrLY l33","Nganjuk","2003-10-03","Laki-Laki","AB","Jl. kmBrLY l33 No. 12","Buddha","Belum Menikah","Konstruksi","Singapura"
"8895761968428764","CHr15T13 R5p5s","Bangkalan","1953-11-23","Laki-Laki","O","Jl. CHr15T13 R5p5s No. 37","Buddha","Belum Menikah","Asisten Ahli","Perancis"
"3981549404739604","l5 HLl","Subulussalam","1987-01-13","Perempuan","AB","Jl. l5 HLl No. 11","Khonghucu","Cerai","Peternak","Malaysia"
"8361957470120456","cARmEL1NA CHi5Olm","Jakarta","1999-04-30","Laki-Laki","AB","Jl. cARmEL1NA CHi5Olm No. 98","Katolik","Belum Menikah","Tukang Kayu","Vietnam"
"8438579868678723","5TaNLeY ALdR1CH","Sampang","1949-12-15","Perempuan","O","Jl. 5TaNLeY ALdR1CH No. 44","Protestan","Belum Menikah","Perdagangan","Indonesia"
"0638751213818358","Cl4Ud3 SULLA","Jember","1988-09-29","Perempuan","AB","Jl. Cl4Ud3 SULLA No. 32","Khonghucu","Menikah","Penata Busana","Inggris"
"6560513934434708","Pet3R r3ES3","Trenggalek","1967-09-08","Perempuan","B","Jl. Pet3R r3ES3 No. 100","Hindu","Cerai","Peternak","Brunei"
"7805415531988108","dGL5 hckM4N","South Tangerang","2006-12-08","Perempuan","B","Jl. dGL5 hckM4N No. 21","Protestan","Menikah","Lainnya","Brunei"
"6242665837687543","DN M4Rtn","Depok","1967-08-20","Perempuan","B","Jl. DN M4Rtn No. 42","Hindu","Cerai","Wiraswasta","Canada"
"7729690355296883","TOmmY M4thi4S","Sumenep","1986-11-25","Perempuan","O","Jl. TOmmY M4thi4S No. 94","Khonghucu","Belum Menikah","Perancang Busana","Brunei"
"7586160998090198","TRC H4yDN","Malang","1990-04-08","Perempuan","O","Jl. TRC H4yDN No. 45","Katolik","Menikah","Wakil Presiden","Singapura"
"1172720016876353","SZ13 gr1mLD0","Blitar","1951-03-22","Perempuan","A","Jl. SZ13 gr1mLD0 No. 93","Khonghucu","Cerai","Anggota DPR-RI","Thailand"
"1174367202336016","d3NNS SP1R35","Blitar","2003-03-15","Perempuan","B","Jl. d3NNS SP1R35 No. 35","Protestan","Menikah","Karyawan Honorer","Perancis"
"1379104913152458","stH3R lW","Batu","1954-08-15","Laki-Laki","A","Jl. stH3R lW No. 20","Hindu","Belum Menikah","Pastur","Indonesia"
"6840005526704359","ClaUd14 wiLli4m5","Kudus","1965-09-15","Perempuan","A","Jl. ClaUd14 wiLli4m5 No. 51","Katolik","Belum Menikah","Bidan","Brunei"
"7178053566758669","jean DEwiNG","Batu","2000-06-23","Perempuan","O","Jl. jean DEwiNG No. 41","Protestan","Belum Menikah","Wakil Walikota","Jepang"
"1353749983840769","Rn3 S3v3R","Cimahi","1999-12-29","Laki-Laki","A","Jl. Rn3 S3v3R No. 64","Islam","Cerai","Petani / Pekebun","Filipina"
"2929416467016244","glEn CR3Ss","Probolinggo","1994-04-10","Perempuan","AB","Jl. glEn CR3Ss No. 26","Buddha","Belum Menikah","Wakil Bupati","Inggris"
"2363844820967384","J4ck D4viS","Probolinggo","1997-03-08","Laki-Laki","O","Jl. J4ck D4viS No. 26","Protestan","Belum Menikah","Guru","Perancis"
"6630056023156643","J4M35 4LEss10","Pacitan","1970-04-12","Laki-Laki","B","Jl. J4M35 4LEss10 No. 73","Khonghucu","Belum Menikah","Gubernur","Inggris"
"1117216253799911","beTh F4rNAN","Depok","1967-05-08","Perempuan","O","Jl. beTh F4rNAN No. 36","Hindu","Menikah","Artis","Filipina"
"4249295226466495","d3bR4 WO0DR0w","Pontianak","1950-01-05","Perempuan","A","Jl. d3bR4 WO0DR0w No. 95","Hindu","Cerai","Anggota Kabinet / Kementerian","Malaysia"
"7125015665567090","3r1C L33","Jombang","1982-01-12","Perempuan","AB","Jl. 3r1C L33 No. 45","Khonghucu","Menikah","Perdagangan","Laos"
"2765537049363260","HaRoLD M1RanDa","Cirebon","1987-02-28","Perempuan","O","Jl. HaRoLD M1RanDa No. 5","Khonghucu","Cerai","Pensiunan","Malaysia"
"1127449151516703","Mr4n b1l4l","Surakarta","1950-06-20","Perempuan","AB","Jl. Mr4n b1l4l No. 24","Protestan","Cerai","Kepala Desa","Canada"
"7396549596537872","MrN CHv35","Ambon","1947-10-05","Laki-Laki","B","Jl. MrN CHv35 No. 90","Protestan","Belum Menikah","Juru Masak","Thailand"
"8375567584907812","J0d lWs","Sidoarjo","1968-09-23","Laki-Laki","O","Jl. J0d lWs No. 64","Katolik","Menikah","Industri","Indonesia"
"0672270729796904","MiChe4l g4RC1a","Purwokerto","1997-06-22","Laki-Laki","B","Jl. MiChe4l g4RC1a No. 5","Hindu","Menikah","Karyawan BUMN","Thailand"
"5052903685053060","5TPh3N C4sp4r1n","Mojokerto","1974-07-05","Perempuan","A","Jl. 5TPh3N C4sp4r1n No. 71","Buddha","Belum Menikah","Tabib","Singapura"
"7363727642398505","HLN sh4N","Palembang","1964-10-04","Laki-Laki","A","Jl. HLN sh4N No. 69","Buddha","Belum Menikah","Karyawan Honorer","Kamboja"
"5957629569576431","kYl3 W0JC14K","Batu","1964-08-05","Perempuan","O","Jl. kYl3 W0JC14K No. 7","Khonghucu","Belum Menikah","Anggota Lembaga Tinggi","Thailand"
"6882823323973809","K4REN gR3AnY","Bojonegoro","1967-08-28","Perempuan","AB","Jl. K4REN gR3AnY No. 76","Katolik","Belum Menikah","Penata Busana","Korea"
"0219004489752082","bR1tTNY PRs","Pati","1979-05-01","Perempuan","A","Jl. bR1tTNY PRs No. 38","Hindu","Belum Menikah","Wakil Presiden","Brunei"
"5171013598722843","eL1ZaBEtH br0wN","Cilacap","1970-04-17","Laki-Laki","AB","Jl. eL1ZaBEtH br0wN No. 73","Protestan","Menikah","Ustadz / Mubaligh","Amerika"
"5028639013494152","eMma LAUrid53n","Bekasi","1988-05-01","Laki-Laki","A","Jl. eMma LAUrid53n No. 75","Protestan","Cerai","Anggota DPRD Provinsi","Filipina"
"0881955886888698","4Vs V3CKr","Bangkalan","1995-02-13","Perempuan","A","Jl. 4Vs V3CKr No. 73","Protestan","Menikah","Industri","Laos"
"6727236698449088","4NN L3W1s","Sumenep","1975-08-23","Laki-Laki","B","Jl. 4NN L3W1s No. 5","Protestan","Menikah","Karyawan Swasta","Myanmar"
"3817568033405416","chR15T1NE 4dAiR","Gresik","1947-10-20","Laki-Laki","O","Jl. chR15T1NE 4dAiR No. 50","Protestan","Menikah","Wakil Presiden","Myanmar"
"1531899068595406","BL4nCHe lU5TEr","Surabaya","1970-10-22","Perempuan","AB","Jl. BL4nCHe lU5TEr No. 18","Katolik","Cerai","Anggota Lembaga Tinggi","Singapura"
