"berkas_citra","nama"
"../test/13__F_Right_index_finger.BMP","Maura Clark"
"../test/13__F_Right_ring_finger.BMP","Maura Clark"
"../test/13__F_Left_middle_finger.BMP","Maura Clark"
"../test/13__F_Left_index_finger.BMP","Maura Clark"
"../test/13__F_Left_little_finger.BMP","Maura Clark"
"../test/13__F_Right_thumb_finger.BMP","Maura Clark"
"../test/14__M_Right_little_finger.BMP","Keith Sanders"
"../test/14__M_Right_index_finger.BMP","Keith Sanders"
"../test/14__M_Right_middle_finger.BMP","Keith Sanders"
"../test/14__M_Left_thumb_finger.BMP","Keith Sanders"
"../test/14__M_Left_ring_finger.BMP","Keith Sanders"
"../test/14__M_Right_ring_finger.BMP","Keith Sanders"
"../test/14__M_Right_thumb_finger.BMP","Keith Sanders"
"../test/14__M_Left_index_finger.BMP","Keith Sanders"
"../test/14__M_Left_middle_finger.BMP","Keith Sanders"
"../test/14__M_Left_little_finger.BMP","Keith Sanders"
"../test/15__F_Right_thumb_finger.BMP","Jill Deal"
"../test/15__F_Right_ring_finger.BMP","Jill Deal"
"../test/15__F_Right_little_finger.BMP","Jill Deal"
"../test/15__F_Left_middle_finger.BMP","Jill Deal"
"../test/15__F_Right_middle_finger.BMP","Jill Deal"
"../test/15__F_Left_little_finger.BMP","Jill Deal"
"../test/15__F_Left_index_finger.BMP","Jill Deal"
"../test/15__F_Right_index_finger.BMP","Jill Deal"
"../test/15__F_Left_ring_finger.BMP","Jill Deal"
"../test/15__F_Left_thumb_finger.BMP","Jill Deal"
"../test/16__M_Right_ring_finger.BMP","John Rahe"
"../test/16__M_Left_index_finger.BMP","John Rahe"
"../test/16__M_Right_index_finger.BMP","John Rahe"
"../test/16__M_Left_ring_finger.BMP","John Rahe"
"../test/16__M_Left_middle_finger.BMP","John Rahe"
"../test/16__M_Left_little_finger.BMP","John Rahe"
"../test/16__M_Left_thumb_finger.BMP","John Rahe"
"../test/16__M_Right_little_finger.BMP","John Rahe"
"../test/16__M_Right_thumb_finger.BMP","John Rahe"
"../test/16__M_Right_middle_finger.BMP","John Rahe"
"../test/17__M_Left_index_finger.BMP","Mildred Knight"
"../test/17__M_Right_thumb_finger.BMP","Mildred Knight"
"../test/17__M_Right_ring_finger.BMP","Mildred Knight"
"../test/17__M_Left_ring_finger.BMP","Mildred Knight"
"../test/17__M_Left_little_finger.BMP","Mildred Knight"
"../test/17__M_Left_middle_finger.BMP","Mildred Knight"
"../test/17__M_Left_thumb_finger.BMP","Mildred Knight"
"../test/17__M_Right_little_finger.BMP","Mildred Knight"
"../test/17__M_Right_index_finger.BMP","Mildred Knight"
"../test/17__M_Right_middle_finger.BMP","Mildred Knight"
"../test/18__M_Right_little_finger.BMP","Mary Murphy"
"../test/18__M_Left_thumb_finger.BMP","Mary Murphy"
"../test/18__M_Right_thumb_finger.BMP","Mary Murphy"
"../test/18__M_Right_middle_finger.BMP","Mary Murphy"
"../test/18__M_Left_ring_finger.BMP","Mary Murphy"
"../test/18__M_Left_middle_finger.BMP","Mary Murphy"
"../test/18__M_Left_little_finger.BMP","Mary Murphy"
"../test/18__M_Right_ring_finger.BMP","Mary Murphy"
"../test/18__M_Left_index_finger.BMP","Mary Murphy"
"../test/18__M_Right_index_finger.BMP","Mary Murphy"
"../test/19__M_Right_little_finger.BMP","Anisa Rebuck"
"../test/19__M_Left_thumb_finger.BMP","Anisa Rebuck"
"../test/19__M_Right_middle_finger.BMP","Anisa Rebuck"
"../test/19__M_Right_index_finger.BMP","Anisa Rebuck"
"../test/19__M_Left_little_finger.BMP","Anisa Rebuck"
"../test/19__M_Left_ring_finger.BMP","Anisa Rebuck"
"../test/19__M_Left_middle_finger.BMP","Anisa Rebuck"
"../test/19__M_Left_index_finger.BMP","Anisa Rebuck"
"../test/19__M_Right_thumb_finger.BMP","Anisa Rebuck"
"../test/19__M_Right_ring_finger.BMP","Anisa Rebuck"
"../test/20__M_Right_index_finger.BMP","Dorothea Phillips"
"../test/20__M_Left_index_finger.BMP","Dorothea Phillips"
"../test/20__M_Right_ring_finger.BMP","Dorothea Phillips"
"../test/20__M_Right_little_finger.BMP","Dorothea Phillips"
"../test/20__M_Right_middle_finger.BMP","Dorothea Phillips"
"../test/20__M_Right_thumb_finger.BMP","Dorothea Phillips"
"../test/20__M_Left_thumb_finger.BMP","Dorothea Phillips"
"../test/20__M_Left_middle_finger.BMP","Dorothea Phillips"
"../test/20__M_Left_ring_finger.BMP","Dorothea Phillips"
"../test/20__M_Left_little_finger.BMP","Dorothea Phillips"
"../test/21__M_Right_little_finger.BMP","Rita Alix"
"../test/21__M_Left_little_finger.BMP","Rita Alix"
"../test/21__M_Right_middle_finger.BMP","Rita Alix"
"../test/21__M_Left_middle_finger.BMP","Rita Alix"
"../test/21__M_Right_ring_finger.BMP","Rita Alix"
"../test/21__M_Left_ring_finger.BMP","Rita Alix"
"../test/21__M_Left_index_finger.BMP","Rita Alix"
"../test/21__M_Right_thumb_finger.BMP","Rita Alix"
"../test/21__M_Left_thumb_finger.BMP","Rita Alix"
"../test/21__M_Right_index_finger.BMP","Rita Alix"
"../test/22__M_Left_ring_finger.BMP","Patricia Gandy"
"../test/22__M_Right_index_finger.BMP","Patricia Gandy"
"../test/22__M_Left_thumb_finger.BMP","Patricia Gandy"
"../test/22__M_Right_little_finger.BMP","Patricia Gandy"
"../test/22__M_Left_middle_finger.BMP","Patricia Gandy"
"../test/22__M_Right_middle_finger.BMP","Patricia Gandy"
"../test/22__M_Left_little_finger.BMP","Patricia Gandy"
"../test/22__M_Right_thumb_finger.BMP","Patricia Gandy"
"../test/22__M_Left_index_finger.BMP","Patricia Gandy"
"../test/22__M_Right_ring_finger.BMP","Patricia Gandy"
"../test/23__M_Right_thumb_finger.BMP","Raul Goods"
"../test/23__M_Left_thumb_finger.BMP","Raul Goods"
"../test/23__M_Left_little_finger.BMP","Raul Goods"
"../test/23__M_Left_middle_finger.BMP","Raul Goods"
"../test/23__M_Right_ring_finger.BMP","Raul Goods"
"../test/23__M_Left_ring_finger.BMP","Raul Goods"
"../test/23__M_Left_index_finger.BMP","Raul Goods"
"../test/23__M_Right_index_finger.BMP","Raul Goods"
"../test/23__M_Right_little_finger.BMP","Raul Goods"
"../test/23__M_Right_middle_finger.BMP","Raul Goods"
"../test/24__F_Left_little_finger.BMP","Gladys Marino"
"../test/24__F_Left_thumb_finger.BMP","Gladys Marino"
"../test/24__F_Left_middle_finger.BMP","Gladys Marino"
"../test/24__F_Right_thumb_finger.BMP","Gladys Marino"
"../test/24__F_Right_ring_finger.BMP","Gladys Marino"
"../test/24__F_Left_index_finger.BMP","Gladys Marino"
"../test/24__F_Left_ring_finger.BMP","Gladys Marino"
"../test/24__F_Right_middle_finger.BMP","Gladys Marino"
"../test/24__F_Right_little_finger.BMP","Gladys Marino"
"../test/24__F_Right_index_finger.BMP","Gladys Marino"
"../test/25__F_Right_index_finger.BMP","Alyssa Leo"
"../test/25__F_Left_ring_finger.BMP","Alyssa Leo"
"../test/25__F_Left_thumb_finger.BMP","Alyssa Leo"
"../test/25__F_Right_middle_finger.BMP","Alyssa Leo"
"../test/25__F_Right_thumb_finger.BMP","Alyssa Leo"
"../test/25__F_Right_little_finger.BMP","Alyssa Leo"
"../test/25__F_Left_index_finger.BMP","Alyssa Leo"
"../test/25__F_Left_middle_finger.BMP","Alyssa Leo"
"../test/25__F_Left_little_finger.BMP","Alyssa Leo"
"../test/25__F_Right_ring_finger.BMP","Alyssa Leo"
"../test/26__M_Right_middle_finger.BMP","Stephen Robinson"
"../test/26__M_Left_middle_finger.BMP","Stephen Robinson"
"../test/26__M_Left_little_finger.BMP","Stephen Robinson"
"../test/26__M_Right_little_finger.BMP","Stephen Robinson"
"../test/26__M_Left_ring_finger.BMP","Stephen Robinson"
"../test/26__M_Right_thumb_finger.BMP","Stephen Robinson"
"../test/26__M_Left_thumb_finger.BMP","Stephen Robinson"
"../test/26__M_Right_index_finger.BMP","Stephen Robinson"
"../test/26__M_Left_index_finger.BMP","Stephen Robinson"
"../test/26__M_Right_ring_finger.BMP","Stephen Robinson"
"../test/27__M_Left_thumb_finger.BMP","Ruth Bryant"
"../test/27__M_Right_index_finger.BMP","Ruth Bryant"
"../test/27__M_Right_middle_finger.BMP","Ruth Bryant"
"../test/27__M_Right_little_finger.BMP","Ruth Bryant"
"../test/27__M_Left_ring_finger.BMP","Ruth Bryant"
"../test/27__M_Right_ring_finger.BMP","Ruth Bryant"
"../test/27__M_Left_index_finger.BMP","Ruth Bryant"
"../test/27__M_Right_thumb_finger.BMP","Ruth Bryant"
"../test/27__M_Left_little_finger.BMP","Ruth Bryant"
"../test/27__M_Left_middle_finger.BMP","Ruth Bryant"
"../test/28__M_Right_index_finger.BMP","Rene Oyler"
"../test/28__M_Left_index_finger.BMP","Rene Oyler"
"../test/28__M_Right_ring_finger.BMP","Rene Oyler"
"../test/28__M_Right_thumb_finger.BMP","Rene Oyler"
"../test/28__M_Left_ring_finger.BMP","Rene Oyler"
"../test/28__M_Left_thumb_finger.BMP","Rene Oyler"
"../test/28__M_Right_middle_finger.BMP","Rene Oyler"
"../test/28__M_Left_middle_finger.BMP","Rene Oyler"
"../test/28__M_Right_little_finger.BMP","Rene Oyler"
"../test/28__M_Left_little_finger.BMP","Rene Oyler"
"../test/29__F_Right_thumb_finger.BMP","Jana Sandrock"
"../test/29__F_Left_middle_finger.BMP","Jana Sandrock"
"../test/29__F_Left_little_finger.BMP","Jana Sandrock"
"../test/29__F_Left_thumb_finger.BMP","Jana Sandrock"
"../test/29__F_Left_ring_finger.BMP","Jana Sandrock"
"../test/29__F_Right_middle_finger.BMP","Jana Sandrock"
"../test/29__F_Right_index_finger.BMP","Jana Sandrock"
"../test/29__F_Right_little_finger.BMP","Jana Sandrock"
"../test/29__F_Left_index_finger.BMP","Jana Sandrock"
"../test/29__F_Right_ring_finger.BMP","Jana Sandrock"
"../test/30__F_Right_index_finger.BMP","Patricia Delrio"
"../test/30__F_Right_middle_finger.BMP","Patricia Delrio"
"../test/30__F_Right_little_finger.BMP","Patricia Delrio"
"../test/30__F_Left_index_finger.BMP","Patricia Delrio"
"../test/30__F_Right_ring_finger.BMP","Patricia Delrio"
"../test/30__F_Right_thumb_finger.BMP","Patricia Delrio"
"../test/30__F_Left_little_finger.BMP","Patricia Delrio"
"../test/30__F_Left_middle_finger.BMP","Patricia Delrio"
"../test/30__F_Left_thumb_finger.BMP","Patricia Delrio"
"../test/30__F_Left_ring_finger.BMP","Patricia Delrio"
"../test/31__F_Right_ring_finger.BMP","Salvatore Garren"
"../test/31__F_Left_middle_finger.BMP","Salvatore Garren"
"../test/31__F_Left_index_finger.BMP","Salvatore Garren"
"../test/31__F_Left_little_finger.BMP","Salvatore Garren"
"../test/31__F_Right_middle_finger.BMP","Salvatore Garren"
"../test/31__F_Left_ring_finger.BMP","Salvatore Garren"
"../test/31__F_Right_little_finger.BMP","Salvatore Garren"
"../test/31__F_Right_thumb_finger.BMP","Salvatore Garren"
"../test/31__F_Left_thumb_finger.BMP","Salvatore Garren"
"../test/31__F_Right_index_finger.BMP","Salvatore Garren"
"../test/32__M_Right_ring_finger.BMP","Marina Knapp"
"../test/32__M_Right_index_finger.BMP","Marina Knapp"
"../test/32__M_Left_index_finger.BMP","Marina Knapp"
"../test/32__M_Left_ring_finger.BMP","Marina Knapp"
"../test/32__M_Right_thumb_finger.BMP","Marina Knapp"
"../test/32__M_Left_thumb_finger.BMP","Marina Knapp"
"../test/32__M_Right_middle_finger.BMP","Marina Knapp"
"../test/32__M_Right_little_finger.BMP","Marina Knapp"
"../test/32__M_Left_middle_finger.BMP","Marina Knapp"
"../test/32__M_Left_little_finger.BMP","Marina Knapp"
"../test/33__M_Left_little_finger.BMP","Estelle Jensen"
"../test/33__M_Left_middle_finger.BMP","Estelle Jensen"
"../test/33__M_Left_index_finger.BMP","Estelle Jensen"
"../test/33__M_Right_thumb_finger.BMP","Estelle Jensen"
"../test/33__M_Right_ring_finger.BMP","Estelle Jensen"
"../test/33__M_Right_middle_finger.BMP","Estelle Jensen"
"../test/33__M_Right_little_finger.BMP","Estelle Jensen"
"../test/33__M_Left_ring_finger.BMP","Estelle Jensen"
"../test/33__M_Left_thumb_finger.BMP","Estelle Jensen"
"../test/33__M_Right_index_finger.BMP","Estelle Jensen"
"../test/34__M_Left_middle_finger.BMP","Casey Robinson"
"../test/34__M_Left_little_finger.BMP","Casey Robinson"
"../test/34__M_Right_thumb_finger.BMP","Casey Robinson"
"../test/34__M_Left_thumb_finger.BMP","Casey Robinson"
"../test/34__M_Right_little_finger.BMP","Casey Robinson"
"../test/34__M_Right_middle_finger.BMP","Casey Robinson"
"../test/34__M_Left_ring_finger.BMP","Casey Robinson"
"../test/34__M_Right_ring_finger.BMP","Casey Robinson"
"../test/34__M_Right_index_finger.BMP","Casey Robinson"
"../test/34__M_Left_index_finger.BMP","Casey Robinson"
"../test/35__M_Left_thumb_finger.BMP","Nicholas Bennett"
"../test/35__M_Right_index_finger.BMP","Nicholas Bennett"
"../test/35__M_Left_ring_finger.BMP","Nicholas Bennett"
"../test/35__M_Left_index_finger.BMP","Nicholas Bennett"
"../test/35__M_Right_thumb_finger.BMP","Nicholas Bennett"
"../test/35__M_Right_ring_finger.BMP","Nicholas Bennett"
"../test/35__M_Left_little_finger.BMP","Nicholas Bennett"
"../test/35__M_Left_middle_finger.BMP","Nicholas Bennett"
"../test/35__M_Right_little_finger.BMP","Nicholas Bennett"
"../test/35__M_Right_middle_finger.BMP","Nicholas Bennett"
"../test/36__M_Right_ring_finger.BMP","Cynthia Fisher"
"../test/36__M_Right_thumb_finger.BMP","Cynthia Fisher"
"../test/36__M_Left_index_finger.BMP","Cynthia Fisher"
"../test/36__M_Right_little_finger.BMP","Cynthia Fisher"
"../test/36__M_Left_ring_finger.BMP","Cynthia Fisher"
"../test/36__M_Right_middle_finger.BMP","Cynthia Fisher"
"../test/36__M_Left_middle_finger.BMP","Cynthia Fisher"
"../test/36__M_Left_little_finger.BMP","Cynthia Fisher"
"../test/36__M_Left_thumb_finger.BMP","Cynthia Fisher"
"../test/36__M_Right_index_finger.BMP","Cynthia Fisher"
"../test/37__M_Right_little_finger.BMP","Milo Huls"
"../test/37__M_Right_middle_finger.BMP","Milo Huls"
"../test/37__M_Left_index_finger.BMP","Milo Huls"
"../test/37__M_Right_index_finger.BMP","Milo Huls"
"../test/37__M_Right_ring_finger.BMP","Milo Huls"
"../test/37__M_Left_little_finger.BMP","Milo Huls"
"../test/37__M_Left_middle_finger.BMP","Milo Huls"
"../test/37__M_Left_thumb_finger.BMP","Milo Huls"
"../test/37__M_Right_thumb_finger.BMP","Milo Huls"
"../test/37__M_Left_ring_finger.BMP","Milo Huls"
"../test/38__M_Left_thumb_finger.BMP","Linda Katz"
"../test/38__M_Right_index_finger.BMP","Linda Katz"
"../test/38__M_Right_little_finger.BMP","Linda Katz"
"../test/38__M_Right_middle_finger.BMP","Linda Katz"
"../test/38__M_Left_middle_finger.BMP","Linda Katz"
"../test/38__M_Left_little_finger.BMP","Linda Katz"
"../test/38__M_Right_ring_finger.BMP","Linda Katz"
"../test/38__M_Left_ring_finger.BMP","Linda Katz"
"../test/38__M_Left_index_finger.BMP","Linda Katz"
"../test/38__M_Right_thumb_finger.BMP","Linda Katz"
"../test/39__M_Left_thumb_finger.BMP","Stacy Knapp"
"../test/39__M_Right_thumb_finger.BMP","Stacy Knapp"
"../test/39__M_Left_little_finger.BMP","Stacy Knapp"
"../test/39__M_Left_middle_finger.BMP","Stacy Knapp"
"../test/39__M_Left_ring_finger.BMP","Stacy Knapp"
"../test/39__M_Left_index_finger.BMP","Stacy Knapp"
"../test/39__M_Right_index_finger.BMP","Stacy Knapp"
"../test/39__M_Right_ring_finger.BMP","Stacy Knapp"
"../test/39__M_Right_little_finger.BMP","Stacy Knapp"
"../test/39__M_Right_middle_finger.BMP","Stacy Knapp"
"../test/40__F_Right_index_finger.BMP","John Barthelemy"
"../test/40__F_Left_ring_finger.BMP","John Barthelemy"
"../test/40__F_Right_ring_finger.BMP","John Barthelemy"
"../test/40__F_Left_index_finger.BMP","John Barthelemy"
"../test/40__F_Right_little_finger.BMP","John Barthelemy"
"../test/40__F_Right_middle_finger.BMP","John Barthelemy"
"../test/40__F_Right_thumb_finger.BMP","John Barthelemy"
"../test/40__F_Left_thumb_finger.BMP","John Barthelemy"
"../test/40__F_Left_middle_finger.BMP","John Barthelemy"
"../test/40__F_Left_little_finger.BMP","John Barthelemy"
"../test/41__M_Right_thumb_finger.BMP","Judith Matthews"
"../test/41__M_Left_thumb_finger.BMP","Judith Matthews"
"../test/41__M_Left_middle_finger.BMP","Judith Matthews"
"../test/41__M_Left_little_finger.BMP","Judith Matthews"
"../test/41__M_Right_ring_finger.BMP","Judith Matthews"
"../test/41__M_Left_index_finger.BMP","Judith Matthews"
"../test/41__M_Right_index_finger.BMP","Judith Matthews"
"../test/41__M_Left_ring_finger.BMP","Judith Matthews"
"../test/41__M_Right_little_finger.BMP","Judith Matthews"
"../test/41__M_Right_middle_finger.BMP","Judith Matthews"
"../test/42__F_Left_thumb_finger.BMP","Jane Gilbert"
"../test/42__F_Right_little_finger.BMP","Jane Gilbert"
"../test/42__F_Right_middle_finger.BMP","Jane Gilbert"
"../test/42__F_Right_index_finger.BMP","Jane Gilbert"
"../test/42__F_Left_ring_finger.BMP","Jane Gilbert"
"../test/42__F_Right_ring_finger.BMP","Jane Gilbert"
"../test/42__F_Left_middle_finger.BMP","Jane Gilbert"
"../test/42__F_Left_index_finger.BMP","Jane Gilbert"
"../test/42__F_Left_little_finger.BMP","Jane Gilbert"
"../test/42__F_Right_thumb_finger.BMP","Jane Gilbert"
"../test/43__F_Right_thumb_finger.BMP","Gene Olson"
"../test/43__F_Right_little_finger.BMP","Gene Olson"
"../test/43__F_Right_middle_finger.BMP","Gene Olson"
"../test/43__F_Left_ring_finger.BMP","Gene Olson"
"../test/43__F_Left_little_finger.BMP","Gene Olson"
"../test/43__F_Left_thumb_finger.BMP","Gene Olson"
"../test/43__F_Left_middle_finger.BMP","Gene Olson"
"../test/43__F_Right_index_finger.BMP","Gene Olson"
"../test/43__F_Left_index_finger.BMP","Gene Olson"
"../test/43__F_Right_ring_finger.BMP","Gene Olson"
"../test/44__M_Left_little_finger.BMP","Debra Pince"
"../test/44__M_Left_middle_finger.BMP","Debra Pince"
"../test/44__M_Right_middle_finger.BMP","Debra Pince"
"../test/44__M_Left_ring_finger.BMP","Debra Pince"
"../test/44__M_Right_little_finger.BMP","Debra Pince"
"../test/44__M_Left_thumb_finger.BMP","Debra Pince"
"../test/44__M_Right_thumb_finger.BMP","Debra Pince"
"../test/44__M_Left_index_finger.BMP","Debra Pince"
"../test/44__M_Right_index_finger.BMP","Debra Pince"
"../test/44__M_Right_ring_finger.BMP","Debra Pince"
"../test/45__M_Right_index_finger.BMP","Michael Rusert"
"../test/45__M_Left_thumb_finger.BMP","Michael Rusert"
"../test/45__M_Right_middle_finger.BMP","Michael Rusert"
"../test/45__M_Right_little_finger.BMP","Michael Rusert"
"../test/45__M_Right_ring_finger.BMP","Michael Rusert"
"../test/45__M_Left_ring_finger.BMP","Michael Rusert"
"../test/45__M_Right_thumb_finger.BMP","Michael Rusert"
"../test/45__M_Left_index_finger.BMP","Michael Rusert"
"../test/45__M_Left_middle_finger.BMP","Michael Rusert"
"../test/45__M_Left_little_finger.BMP","Michael Rusert"
"../test/46__M_Left_index_finger.BMP","Joseph Merrill"
"../test/46__M_Right_thumb_finger.BMP","Joseph Merrill"
"../test/46__M_Right_ring_finger.BMP","Joseph Merrill"
"../test/46__M_Left_little_finger.BMP","Joseph Merrill"
"../test/46__M_Left_middle_finger.BMP","Joseph Merrill"
"../test/46__M_Right_index_finger.BMP","Joseph Merrill"
"../test/46__M_Left_thumb_finger.BMP","Joseph Merrill"
"../test/46__M_Left_ring_finger.BMP","Joseph Merrill"
"../test/46__M_Right_middle_finger.BMP","Joseph Merrill"
"../test/46__M_Right_little_finger.BMP","Joseph Merrill"
"../test/47__F_Left_ring_finger.BMP","Daniel Harding"
"../test/47__F_Right_index_finger.BMP","Daniel Harding"
"../test/47__F_Left_thumb_finger.BMP","Daniel Harding"
"../test/47__F_Right_thumb_finger.BMP","Daniel Harding"
